Source,Date,Text,Positive,Neutral,Negative,Compound,Tweets Ago
BBCWorld,Mon Aug 27 16:19:07 +0000 2018,Saad Lamjarred: Moroccan singer faces third rape charge https://t.co/tibNiF1jvD,0.0,0.63,0.37,-0.6908,1
BBCWorld,Mon Aug 27 16:07:47 +0000 2018,"Just when you thought it was safe to go back in the water... 🐬

https://t.co/nBkeOkDi2a",0.182,0.818,0.0,0.4404,2
BBCWorld,Mon Aug 27 15:58:09 +0000 2018,Jos Brech was identified as a suspect after the Netherlands' biggest ever DNA harvesting operation https://t.co/sR3zf8cPh0,0.0,0.864,0.136,-0.296,3
BBCWorld,Mon Aug 27 15:50:03 +0000 2018,John McCain: White House urged to lower flags for senator https://t.co/xzsNZO6awn,0.0,0.82,0.18,-0.296,4
BBCWorld,Mon Aug 27 15:42:18 +0000 2018,RT @BBCBusiness: US-Mexico reach NAFTA breakthrough https://t.co/4pMLFXJHNh,0.155,0.845,0.0,0.0258,5
BBCWorld,Mon Aug 27 14:23:54 +0000 2018,"RT @BBCSteveR: Russian opposition politician Alexei Navalny has been sentenced to 30 days behind bars: on paper, it’s for a street protest…",0.0,0.948,0.052,-0.0258,6
BBCWorld,Mon Aug 27 13:15:21 +0000 2018,Florida shooting: Gaming community reacts https://t.co/pY4vjZnZBe,0.0,1.0,0.0,0.0,7
BBCWorld,Mon Aug 27 13:07:11 +0000 2018,Uganda's Bobi Wine crisis: Court frees pop star MP https://t.co/rQnCMYa2GF,0.154,0.559,0.287,-0.4404,8
BBCWorld,Mon Aug 27 12:35:37 +0000 2018,Back to the (really) old school https://t.co/ZXjvclk1hX,0.0,1.0,0.0,0.0,9
BBCWorld,Mon Aug 27 12:15:51 +0000 2018,Why are some Iranians running out of hope? https://t.co/NsxYI5IKhe https://t.co/rCFXfS9u6J,0.244,0.756,0.0,0.4404,10
BBCWorld,Mon Aug 27 11:52:52 +0000 2018,"Chale Wote art festival takes over Ghana's capital, Accra https://t.co/EpNO8pijna",0.262,0.738,0.0,0.4939,11
BBCWorld,Mon Aug 27 11:47:14 +0000 2018,People in Morocco shocked over brutal rape allegations https://t.co/aem9OoaZzy,0.0,0.351,0.649,-0.9022,12
BBCWorld,Mon Aug 27 11:45:31 +0000 2018,"More than 50 years on, the Democratic Party's national convention of 1968 continues to haunt the party and cast a s… https://t.co/NVAVoNFbnF",0.111,0.779,0.111,0.0,13
BBCWorld,Mon Aug 27 11:20:24 +0000 2018,Brest frisky dolphin sparks French swimming ban https://t.co/G3pQeVsqeI,0.172,0.517,0.31,-0.3818,14
BBCWorld,Mon Aug 27 11:12:12 +0000 2018,Iran urges UN court to halt US reimposed nuclear sanctions https://t.co/G3Pn1JL4b7,0.0,1.0,0.0,0.0,15
BBCWorld,Mon Aug 27 10:46:01 +0000 2018,Muslim men have been swapping clothes with non-Muslim men as part of a project to fight stereotypes… https://t.co/3Pr4EnSHJ7,0.0,0.86,0.14,-0.3818,16
BBCWorld,Mon Aug 27 10:32:27 +0000 2018,"The UN report is also fiercely critical of Myanmar's de facto leader, Aung San Suu Kyi https://t.co/fiUaGph4ED",0.0,0.874,0.126,-0.3182,17
BBCWorld,Mon Aug 27 10:28:37 +0000 2018,German far-right street mob alarms police in Chemnitz https://t.co/750Z7Nppsd,0.0,0.792,0.208,-0.2732,18
BBCWorld,Mon Aug 27 10:03:52 +0000 2018,Florida shooting: Video gamers killed by rival at tournament https://t.co/SWoWDfalhR,0.0,0.667,0.333,-0.6705,19
BBCWorld,Mon Aug 27 09:50:20 +0000 2018,Thieves replace Paraguay police rifles with toy replicas https://t.co/Xcvahi2DIt,0.0,0.708,0.292,-0.5106,20
BBCWorld,Mon Aug 27 09:24:10 +0000 2018,"RT @BBCSport: ""A deafening silence of 43 minutes, one for each child, worker, student, father or mother who are no longer with us today"".…",0.0,0.833,0.167,-0.5267,21
BBCWorld,Mon Aug 27 09:20:59 +0000 2018,Pope 'moved and shocked' by meetings with abuse victims https://t.co/8qhy7aOnbY,0.0,0.443,0.557,-0.8316,22
BBCWorld,Mon Aug 27 09:16:34 +0000 2018,Witnesses describe the moment a gunman opened fire at a video game tournament in Florida https://t.co/6QO8xL4rxG https://t.co/641SiGPsgI,0.0,0.854,0.146,-0.34,23
BBCWorld,Mon Aug 27 08:57:39 +0000 2018,🚲🚲🚲 https://t.co/vuFW9P7pcS,0.0,1.0,0.0,0.0,24
BBCWorld,Mon Aug 27 07:57:46 +0000 2018,Australia: Crocodile swamp search a 'people smuggling' case https://t.co/SbCGKio3C4,0.0,0.693,0.307,-0.4767,25
BBCWorld,Mon Aug 27 07:46:48 +0000 2018,"RT @bbcworldservice: ""I hope he doesn't come in here because, if he does, then I'm going to die"" 
A survivor of the shooting in Jacksonvill…",0.178,0.693,0.129,0.128,26
BBCWorld,Mon Aug 27 07:36:42 +0000 2018,"Myanmar military leaders must face genocide charges, says UN https://t.co/U28aXtAFO9",0.0,0.811,0.189,-0.2732,27
BBCWorld,Mon Aug 27 07:28:37 +0000 2018,UK wife killer to be repatriated to India https://t.co/XYOgGNrAfv,0.0,0.65,0.35,-0.6486,28
BBCWorld,Mon Aug 27 02:39:28 +0000 2018,North Korea grants humanitarian release to Japanese tourist https://t.co/PNkDSuhbAg,0.192,0.808,0.0,0.2263,29
BBCWorld,Mon Aug 27 02:24:00 +0000 2018,Pope keeps silent on abuse claim letter at end of Irish visit https://t.co/Ni1gxFxWZR,0.0,0.741,0.259,-0.6369,30
BBCWorld,Mon Aug 27 01:27:15 +0000 2018,Myanmar Reuters journalists Wa Lone and Kyaw Soe Oo await verdict https://t.co/rccFV47cQz,0.213,0.638,0.149,-0.0258,31
BBCWorld,Mon Aug 27 00:53:25 +0000 2018,Colombia anti-corruption referendum fails to meet quorum https://t.co/ClpuO5E6y7,0.0,0.714,0.286,-0.4215,32
BBCWorld,Sun Aug 26 23:14:45 +0000 2018,Sri Lanka mass grave: Dozens of skeletons found in Mannar https://t.co/dyAjh9g8Fu,0.0,0.794,0.206,-0.3818,33
BBCWorld,Sun Aug 26 18:42:55 +0000 2018,"Mass shooting in Jacksonville, Florida https://t.co/hlxQQ4IJoU",0.0,1.0,0.0,0.0,34
BBCWorld,Sun Aug 26 17:57:02 +0000 2018,When the Pope asked Ireland for forgiveness https://t.co/E1zMBHGzZp,0.231,0.769,0.0,0.2732,35
BBCWorld,Sun Aug 26 16:49:09 +0000 2018,"""He was always willing to speak truth to power"" - Tributes to John McCain

https://t.co/VoG3VTnCRu https://t.co/QehdNdHnic",0.141,0.859,0.0,0.3182,36
BBCWorld,Sun Aug 26 16:45:16 +0000 2018,RT @BBCNews: Neil Simon: Celebrated US playwright dies aged 91 https://t.co/S6Ew4Qk73Q,0.27,0.73,0.0,0.5719,37
BBCWorld,Sun Aug 26 16:14:40 +0000 2018,Papal visit: Vigils remember Church abuse victims https://t.co/5rKkCShAxz,0.0,0.48,0.52,-0.7579,38
BBCWorld,Sun Aug 26 15:49:27 +0000 2018,German town evacuated over WW2 bomb https://t.co/ALnTTHQFIC,0.0,0.652,0.348,-0.4939,39
BBCWorld,Sun Aug 26 15:26:39 +0000 2018,Can man's best friend help take down the ivory trade? 🐕🐘 https://t.co/83K8s0IkOA,0.529,0.471,0.0,0.8779,40
BBCWorld,Sun Aug 26 15:26:35 +0000 2018,"RT @BBCNews: Egypt hotel deaths: ""As soon as they went into the bedroom my daughter said she could smell something funny - that wasn't righ…",0.112,0.888,0.0,0.4404,41
BBCWorld,Sun Aug 26 15:20:21 +0000 2018,"RT @bbcworldservice: ""Entangled in a fishing net... it was as torturously sad as anything I've ever seen in my whole life."" The race to sav…",0.0,0.777,0.223,-0.743,42
